品牌:
    跃航 :24003
    可手洗 可机洗 吸尘 干洗 :72995
    吸尘 可手洗 :5460
    可手洗 可机洗 :17148
出口国:
    欧洲 :58796
    北美洲 :29956
    亚洲 :227745
产品等级:
    合格品 :174909
    一等品 :90025
    优等品 :49457
适用季节:
    春秋 :27818
    春秋 夏季 冬季 :12431
    冬季 :129507
    夏季 :48447
    秋季 :9622
    春秋 夏季 冬季 :5361
    四季 :80525
是否带锁:
    否 :28638
    是 :276023
外套材质:
    棉 :28123
    毛绒 :73958
    绸缎 :17074
    化纤 :20231
    其他 :71987
    亚麻 :18331
    混纺 :71653
组合形式:
    单幅 :34412
    花卉+花瓶 :88169
    套装 :13575
    单只/束 :18067
    花卉 花卉+花瓶 :32851
    单个 :5697
    单件 :8614
    五座专用 :6109
    含带浴室边柜 含带浴室镜柜 含带水龙头 含带配套面盆 :11269
    独立 :26139
    单幅价格 :14273
    五座 :8320
    拼套 :5313
    花卉 :23622
是否可拆洗:
    否 :104182
    是 :186703
是否可旋转:
    否 :169456
    是 :121258
沙发套产品:
    组合套装 :23138
    沙发巾 :14271
    沙发套(盖住整张沙发的) :247048
    其他/other :5276
成分含量:
    81%(含)-95%(含) :7704
    30%(不含)-40%(含) :9417
    41%(含)-50%(含) :13864
    71%(含)-80%(含) :19865
    100% :151629
    81%(含)-90%(含) :19488
    51%(含)-60%(含) :9385
    95%以上 :17400
    96%以上 :14906
    91%(含)-100%(不含) :25596
木质结构工艺:
    印花 :5506
    榫卯结构 :60272
    拼板 :34370
    烟熏/碳化 :8717
    其他 :99398
    车床 :13361
    涂饰 :6164
    雕刻 :43039
    旋切 :6776
    胶合 :8172
涂料光泽:
    高光 :21408
    亮光 :26037
    半哑光 :87238
    哑光 :138183
照射面积:
    10㎡-15㎡ :70725
    1㎡-3㎡ :14270
    15㎡-30㎡ :31100
    5㎡-10㎡ :101674
    3㎡-5㎡ :43368
    30㎡ :9899
外观造型:
    人物 :50069
    动物 :67969
    植物 :45836
    卡通 :22367
    其他 :83958
是否手工:
    否 :164291
    是 :99341
摆件类型:
    落地摆件 :18930
    桌面摆件 :235663
智能类型:
    阿里小智 :10731
    其他智能 :6154
    不支持智能 :99224
    其他 :137150
长度:
    1.8m(不含)-2.0m(含) :23458
    60cm :5471
    0.6 0.9 1.2 :6542
    180cm :6452
    1.5m(不含)-1.8m(含) :25580
    2.0m(不含)-2.3m(含) :14611
    35cm :8120
    45CM :10674
    2.3m以上 :6429
    50cm(含)-60cm(含) :18540
    91cm(含)-120cm(含) :6953
    3米 :9332
    其他/other :14418
    0.3 0.6 0.9 1.2 :5212
    1.5m及以下 :30847
    61cm以下 :6347
    25cm :15253
    61cm(含)-90cm(含) :21899
    其它 :15245
是否可预售:
    否 :94242
    是 :155777
抱枕枕靠类型:
    腰枕 :20883
    手枕 :5756
    靠垫被 :40628
    靠垫 :139165
    靠垫套/抱枕套 :43236
辅材套餐:
    墙纸+专用胶水 :9941
    仅墙纸 :235070
柜子类型:
    桌上文件柜 资料架文件柜 落地文件柜 壁挂文件柜 卷门柜 底图柜 移动矮柜 仪器柜 :18808
    资料架文件柜 落地文件柜 仪器柜 :7345
    资料架文件柜 :6902
    桌上文件柜 :14504
    资料架文件柜 落地文件柜 :21421
    资料架文件柜 落地文件柜 底图柜 移动矮柜 仪器柜 :8736
    落地文件柜 :23821
    储物柜 :15992
    落地文件柜 移动矮柜 :37970
    桌上文件柜 资料架文件柜 :10485
    桌上文件柜 资料架文件柜 落地文件柜 底图柜 移动矮柜 :10725
    桌上文件柜 资料架文件柜 落地文件柜 :9750
    桌上文件柜 资料架文件柜 落地文件柜 底图柜 移动矮柜 仪器柜 :5495
    桌上文件柜 资料架文件柜 落地文件柜 移动矮柜 :5378
    开门柜 :8671
    资料架文件柜 落地文件柜 移动矮柜 :25929
    资料架文件柜 落地文件柜 移动矮柜 仪器柜 :7885
隔板是否可调节:
    可调节 :149219
    不可调节 :88130
面层工艺:
    印花 :58238
    浮雕 :34123
    砂岩 :5927
    磨砂 :8550
    其他 :20070
    纸面 :57171
    压花 :44395
沙发组合形式:
    弧形 :6922
    U形 :78634
    L形 :80196
    其他 :59460
是否可折叠:
    否 :194151
    是 :30053
高度:
    900mm及以上 :24003
    600mm以下 :69784
    900MM以下 :33352
    600mm及以下 :75557
    600mm(含)-850mm(不含) :21337
支撑架材质:
    木 :13520
    PP :108259
    塑料 :37816
    不锈钢 :20863
    铁 :25115
    其他 :12567
每片宽度(mm):
    150 :5902
    800 :33584
    300 :145145
    600 :16956
    450 :16144
有无图案:
    无图案 :30392
    有图案 :187154
涂层类别:
    面漆 :216375
电子电工产品类型:
    86型 :178862
    118型 :22243
    120型 :14701
墙纸规格:
    5.3㎡ /卷 :88352
    5.035㎡/卷 :30263
    其他 :90191
    0.45㎡/卷 :6516
抽屉材质:
    PP :128058
    藤编 :9961
    其他 :9017
    塑料 :66886
包含组件:
    书架 电脑桌 :30939
    其他 电脑桌 组装栏板 隔板 :5310
    书架 其他 电脑桌 隔板 :15049
    书架 其他 电脑桌 :7129
    书架 电脑桌 组装栏板 :5532
    书架 :19027
    其他 电脑桌 :8944
    其他 :21343
    书架 电脑桌 隔板 :9680
    书架 其他 电脑桌 组装栏板 隔板 :9085
    书架 电脑桌 组装栏板 隔板 :7045
    电脑桌 :72320
地垫售卖方式:
    成品地毯（元/块） :185504
    定制地毯（元/平） :22894
容量:
    45L :5752
    18L :8296
    24L :12236
    手扫漆/手摇喷漆 :10762
    60L :5407
    1L 2L 2.5L 4L 4.5L 5L 8L 10L 12L 18L 18L以上 :10832
    其他 :19018
    1L 2L 3L 4L 5L 6L 8L 10L 12L 15L 18L 18L以上 :12513
    120L :26440
    0-1L 1L :34749
    0-1L 1L 3L :22116
    1L :19270
    0-1L :20315
装裱方式:
    有框 :139782
    无框 :67866
每片长度(mm):
    800 :36079
    300 :108374
    600 :42745
    450 :19358
桌面是否可调节:
    可调节 :20659
    不可调节 :184908
地垫适用空间:
    门厅 :69891
    卫浴 :30591
    客厅 :22742
    其他/other :18502
    卧室 :46761
    厨房 :15578
大小:
    小 :45188
    小 中 大 :6039
    特大 :11563
    大 :76268
    中 :64034
饰面工艺:
    人造板工艺 :25188
    其他 :44774
    玻璃工艺 :13142
    免漆 :12090
    烤漆 :15554
    油漆工艺 :40832
    竹藤工艺 :7382
    面料工艺 :16991
    表面转印 :12131
    镶嵌玻璃 :9768
鞋柜类型:
    布衣柜/简易衣柜 :16636
    门开式收纳柜 :38276
    抽屉式收纳柜 :142133
包装尺寸:
    1800*850*390 :35787
    150*38*8 :5120
    1800*850*390mm :6661
    0.1 :5066
    请见宝贝描述 :31619
    50*35*12 :27707
    45*45*16 :6300
    1 :8171
    52*42*15 :5045
    1.2m*0.45mi :5190
    39.4*29.5*43 :6616
    1.0 :5528
    37*46 :9023
    1850*900*400 :8693
    50*40 :6080
    0.2 :5128
    72*72*10 :8088
    40*40*15 :10233
幅数:
    单幅 :126537
    三联以上 :25600
    三联 :41949
图片形式:
    立体 :37574
    平面 :156431
画芯材质:
    密度板 :25712
    哑光纸 :11442
    其他/other :27360
    布纹膜 :17177
    油画布 :109147
国家/地区:
    中国台湾 :46305
    韩国 :32095
    香港 :16822
    日本 :63227
    新加坡 :18525
    马来西亚 :6201
颜色:
    香槟金 :38460
    黑色 :12263
    拉丝不锈钢 :9040
    象牙白 :27609
    其他/other :33047
    银色 :8996
    雅白 :49490
面料材质:
    牛皮 :6071
    网布 :66292
    亚麻布 :7987
    人造革 :57871
    其他 :32950
    绒布 :6488
填充物硬度:
    硬 :29648
    软 :145304
是否可躺:
    否 :96664
    是 :76611
置物用品类型:
    调味料 :29012
    微波炉 :80456
    其他 :32118
    碗盘 :27145
扶手类型:
    固定扶手 旋转升降扶手 :5073
    旋转升降扶手 :43361
    固定扶手 :87725
    无扶手 :21394
    固定扶手 无扶手 :10703
件数:
    4件 :71435
    10件(含)-16件(含) :54035
    6件(含)-9件(含) :20391
    2件 :11806
    1件 :7626
配件类型:
    S弯 :5066
    挡水条 :7219
    花洒座 :11068
    花洒单头(手持) :11588
    排水管 :17498
    冲水管部件 :31483
    升降杆 :5469
    其他/other :8125
    花洒软管 :21779
    下水器 :37475
    水箱 :7582
五星脚材质:
    铝合金脚 钢制脚 :20902
    钢制脚 :75955
    实木脚 :16433
    尼龙脚 钢制脚 :33707
    铝合金脚 :6084
    尼龙脚 铝合金脚 钢制脚 :10238
是否带散热:
    否 :155968
    是 :6604
抽屉数量:
    2个 :25602
    无 :31991
    4个 :5861
    3个 :13972
    1个 :34799
    0个 :49082
每卷长度(m):
    10米 :6629
    10m :6212
    10 :98497
    5 :13933
    1 :12382
    9.5 :21176
每卷宽度(m):
    0.45 :35074
    1 :12472
    0.6 :8885
    0.53米 :5153
    0.53 :91532
靠背高度:
    50cm :8158
    42cm :6039
    125mm及以下 :55930
    67cm :22668
    125mm(不含)-800mm(不含) :59142
开关类型:
    调光开关 :9673
    触摸开关 :39899
    其他 :13857
    按钮开关 :84973
吸水率:
    0.5%以上 :90700
    0.5%及以下 :49824
电流类型:
    强电 :56314
    弱电 :81695
是否支持人体工程学:
    否 :5566
    是 :132278
宽度:
    1m以下 :8924
    0.6米宽 :9877
    1-1.2米宽 :7231
    0.8-1米宽 :5924
    0.6米以下宽 :55993
    1m(含)-3m(不含) :24792
    0.6-0.8米宽 :24708
是否带脚踏:
    否 :79285
    是 :57703
龙头开孔:
    三孔 :25454
    单孔 :105093
    双孔 :6366
灯身主材质:
    木 :14329
    树脂 :5726
    铝 :8779
    铁 :84646
    ABS+五金底盘 :10397
    其他 :6385
    合金 :5742
电源方式:
    直流交流兼有 :35677
    直流电 :79617
    交流电 :19206
金属结构工艺:
    切割 :27925
    焊接 :62063
    其他 :24103
    热处理 :17942
光源个数:
    1个 :110511
    2个 :18564
是否有扶手:
    带扶手 :47573
    不带扶手 :80699
灯罩主材质:
    PMMA高透光率灯罩 :20376
    毛皮 :5340
    铁 :13120
    布 :44180
    PVC :6678
    玻璃 :38108
隔板形状:
    一字形 :39374
    特殊造型 :83737
外框材质:
    实木 :53910
    PS :67779
面料饰面工艺:
    印花 :11179
    染色 :5431
    印制 :5282
    其他 :38465
    拉扣 :12061
    植绒 :30335
    水洗 :8012
    免烫处理 :10102
人造板结构工艺:
    旋切 :9694
    拼板 :45587
    其他 :50242
    胶合 :15275
表面工艺:
    不锈钢拉丝 :12995
    氧化 :28250
    不锈钢亮光 :10809
    平板 :33178
    阳极氧化 :23805
    雕花 :6236
    滚涂 :5500
仿真花类型:
    丝网花 干花 绢花 毛绒花 门楣花/镜前花 婚庆花艺 :8846
    绢花 :82852
    绢花 婚庆花艺 :23073
    塑料 :5959
适用部位:
    座椅 :8107
    内墙 :17915
    其他/other :92397
灯身辅材质:
    水晶 :8571
    木 :11309
    铝 :6746
    铁 :57997
    ABS+五金底盘 :17892
    其他 :6618
    合金 :7956
摆放空间:
    摆放花卉 :83410
    挂壁花卉 吊篮花卉 摆放花卉 其他/other :9415
    摆放花卉 其他/other :6980
    落地花卉 摆放花卉 :10577
灯罩辅材质:
    PMMA高透光率灯罩 :23691
    PVC :9251
    铁 :20977
    布 :26290
    玻璃 :28837
是否可调色:
    可调色 :107756
是否可伸缩:
    不可伸缩 :95391
    可伸缩 :12284
盖板是否缓冲:
    缓冲 :93464
    不缓冲 :14008
规格:
    宽55高60cm(优质棉） 宽50高60cm(优质棉） 宽55高60cm(高密度海绵） 宽50高60cm(高密度海绵） :13469
    宽50高60cm(优质棉） 宽50高60cm(高密度海绵） 宽55高60cm(优质棉） 宽55高60cm(高密度海绵） :6205
    70*70可做扶手巾靠背巾 70*90cm 90*180 110*110 110*160cm 110*180 110*210 110*240 90.120 90*160 90*70可做扶手巾靠背巾 90*90可做扶手巾靠背巾 70*150cm 70*180cm 70*210cm 90*210cm 90*240cm :5490
    三层 四层 五层 六层 七层 :5232
    68*68cm 60*138cm 80*138cm 90*138cm 100*138cm 100*160茶几 138*138cm 138*160cm 138*180餐桌 138*200cm 138*220cm 订制 :14758
    其他 :34838
    迷你款30cm*30cm :10585
    3层 4层 5层 6层 7层 :5223
    超大容量 :11444
城市:
    湖州市 :6627
    上海市 :6589
    徐州市 :7802
    杭州市 :12184
    佛山市 :10511
    廊坊市 :11371
    其他/other :43040
    苏州市 :8102
壁饰类型:
    铁艺 :19177
    几何图案 :15237
    动物装饰 :8193
    花卉 :24113
    其他 :33849
工艺伞形式:
    仿古 :96805
原料成分:
    腈纶 :5091
    混纺 :5296
    锦纶 :6394
    涤纶 :70080
    丙纶 :9244
门帘类型:
    纱门 :9638
    其他/other :12471
    布艺门帘 :73503
是否带柜门:
    否 :24830
    是 :70175
包装重量:
    6 :5551
    20KG :5103
    4KG :5483
    7KG :5324
    4公斤 :5709
    请见宝贝描述 :28429
    7公斤 :8597
    45kgi :5187
    2.5 :5356
    3KG :10715
    3 :7730
主要表层材质含量:
    71%(含)-80%(含) :19273
    61%(含)-70%(含) :9698
    100% :5364
    81%(含)-90%(含) :15583
    51%(含)-60%(含) :23287
    91%(含)-100%(不含) :18536
管径:
    DN20(4分管 ) :42741
    16mm :5628
    DN25(6分管 ) :5940
    其他 :28404
    35mm :7811
塑料结构工艺:
    注塑成型 :71463
    其他 :15560
是否带书架:
    否 :34483
    是 :52360
系列:
    系列 :9065
    干肤干发器 :9763
    008 :6761
    见描述 :33800
    其他系列 :6594
    爵士名豪 :5737
    拉篮 :6866
    干手器 :7459
操作方式:
    手持式 :79883
    其他 :5021
是否双面:
    单面 :83596
适用年龄:
    新生 1个月 2个月 3个月 4个月 5个月 6个月 7个月 8个月 9个月 10个月 11个月 12个月 13个月 14个月 15个月 16个月 17个月 18个月 19个月 20个月 21个月 22个月 23个月 2岁 25个月 26个月 27个月 28个月 29个月 30个月 31个月 32个月 33个月 34个月 35个月 3岁 4岁 5岁 :7804
    新生 1个月 2个月 3个月 4个月 5个月 6个月 7个月 8个月 9个月 10个月 11个月 12个月 13个月 14个月 15个月 16个月 17个月 18个月 19个月 20个月 21个月 22个月 23个月 2岁 25个月 26个月 27个月 28个月 29个月 30个月 31个月 32个月 33个月 34个月 35个月 3岁 4岁 5岁 6岁 :9109
    25-29周岁 :8976
    6个月 7个月 8个月 9个月 10个月 11个月 12个月 13个月 14个月 15个月 16个月 17个月 18个月 19个月 20个月 21个月 22个月 23个月 2岁 25个月 26个月 27个月 28个月 29个月 30个月 31个月 32个月 33个月 34个月 35个月 3岁 4岁 5岁 6岁 :6999
    18-24周岁 :7777
    3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上 :6877
    2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上 :8160
    6个月 7个月 8个月 :5129
    12个月 2岁 3岁 4岁 5岁 6岁 :10624
    新生 :5485
    新生 1个月 2个月 :5730
床垫类型:
    床褥 :18180
    床垫 :64257
商用卫浴品牌:
    莫顿 :6730
    other/其他 :73270
包装方式:
    组装 :49878
    包装 :5771
    整装 :14333
    散装 :9271
表层材质:
    聚氯乙烯/氯纶/PVC :8585
    聚酯纤维/涤纶/PET :48049
    聚氨基甲酸酯/氨纶/PU :11959
    亚麻 :10645
净重:
    10kg :5071
    1kg :17344
    33kg :10963
    6kg :14247
    2kg :5255
    5kg :7898
    3kg :5781
    0.5kg :11785
厚薄:
    常规 :26794
    加绒加厚 :12408
    薄款 :7282
    加厚 :31396
承重:
    5kg(不含)-10kg（含） :12792
    15kg :5231
    3kg(不含)-5kg（含） :5205
    150kg :19025
    25kg :5983
    70kg及以上 :13948
    1kg(不含)-3kg(含) :5228
    10kg(不含)-15kg（含） :10211
具体规格:
    欧式开关套 :22799
    单开冰箱50*130cm/洗衣机罩 单开冰箱55*130cm/洗衣机罩 对开60*180cm 对开70*180cm :7461
    适用86*86mm正方形开关 :5931
    (颜色以图为准) :8641
    （1到1.5匹）86厘米长以内 （1.5到2匹）94厘米长以内 :9165
    提示：勾选后可编辑 :6725
    40*120CM小柜通用 45×130CM 50×130CM 55×135CM冰箱 洗衣机通 58×130CM 60×150CM 65×170CM 70×180CM双开门冰箱 :8225
    规格1 :8634
毯类型:
    珊瑚绒毯 :56029
    拉舍尔毛毯 :11888
    其他/other :8189
插座类型:
    强电 :44572
    弱电 :31197
主材材质:
    塑料 :8115
    实木 :20301
    铁艺 :24491
    铝 :6642
    其他 :7586
    人造板 :7554
服务内容:
    支持订制 :63481
    支持安装 :10651
有无正反转向:
    无 :5237
    有 :68435
是否有内胆:
    有内胆 :49145
    无内胆 :23959
三聚氰氨饰面工艺:
    浮雕 :20710
    光面 :18101
    其他/other :15448
    麻面 :18709
调速:
    无 :5125
    无极变速 :67520
插头分类:
    转换插头 :72631
发光颜色:
    暖白 白 :12653
    暖白 黄 白 蓝 绿 紫 红 其它 :9172
    白 :11088
    暖黄 白 :10645
    其它 :29028
人造板饰面工艺:
    麻面 :9552
    木皮饰面 :5211
    木纹 :16079
    其他/other :15934
    其他 :9247
    哑光 :16449
是否带抽:
    否 :43711
    是 :28043
是否带阻尼:
    不带阻尼 :58160
    带阻尼 :13496
被里材质:
    棉 :48959
    涤纶（聚酯纤维） :14473
    其他/other :7790
被面材质:
    棉 :43475
    涤纶（聚酯纤维） :13018
    其他/other :14260
夹头类型:
    通用夹头 :30026
    快速夹头 :40348
最大夹持能力:
    13mm :5692
    10mm :63719
国家:
    法国 :6961
    英国 :11874
    西班牙 :6663
    德国 :8437
    俄罗斯 :9382
    美国 :25519
沙发套种类:
    棉 :15935
    其他/other :42617
    麂皮绒 :9916
是否椅面软包:
    否 :67117
几人坐:
    单人 :14543
    组合 :13969
    其他 :5112
    单人 双人 三人 :32909
茶几角形状:
    圆形 :22309
    方形 :43196
证书状态：有效:
    :65316
面料支数:
    40支 :37043
    其他 :11896
    60支 :15606
类型:
    86型 :15025
    链式 :6527
    滚珠 :35971
    扣式 :6973
加热功率:
    2000W :6040
    1800W :58142
隔板厚度:
    其他/other :58391
    20mm :5350
电钻类型:
    手电钻 :63618
漆色分类:
    白色 :53313
    透明 :9564
枕头面料:
    聚酯纤维 :18122
    棉 :11632
    其他/other :25851
    棉布 :6661
LED灯带规格:
    60 :11416
    其它 :50167
开关插座选项:
    五孔 :54629
    单开 :6486
色牢度:
    2-3 :18785
    3-4 :8966
    其他 :7317
    4 :25410
缩水率:
    3%-5% :6260
    其他 :7715
    2%-3% :46144
遮光功能:
    遮光 :7749
    装饰+全遮光 :22026
    透光 :5371
    装饰+半遮光 :24848
是否进口:
    国产 :59980
油漆工艺:
    免漆 :25576
    烤漆 :20524
    喷漆 :13791
织造工艺:
    贡缎 :8892
    斜纹 :28172
    磨毛 :12439
    其他 :10042
门镜镜片材质:
    塑料 :12428
    其他 :8912
    玻璃 :37489
视角:
    220° :10896
    其他 :15402
    180° :32531
鞋底材质:
    橡胶 :21185
    EVA :7671
    TPR :9340
    PVC :20484
花草种类:
    混合式 :22289
    玫瑰 :28806
    荞麦壳 :6596
是否有导购视频:
    无 :43017
    有 :14548
花器种类:
    落地花瓶 :5037
    花架 :10200
    台面花瓶 :41984
销售渠道类型:
    纯电商(只在线上销售) :56607
是否带椅凳:
    否 :26949
    是 :29606
床品工艺:
    绗缝 :13335
    其他 :42697
适用场地:
    浴室拖鞋 :8168
    居家拖鞋 :47470
灯头接口（灯头型号）:
    T5 :13419
    T8 :12221
    E27 :12775
    其它 :17139
猫眼类型:
    智能猫眼 :6602
    普通猫眼 :48821
是否光控:
    否 :24609
    是 :30457
棉种类:
    棉 :46072
    长绒棉 :8682
印花工艺:
    活性印花 :54698
是否带柜子:
    否 :47785
    是 :5838
帘头款式:
    平帷 荡度 其他 :11425
    平帷 荡度 :11514
    平帷 :18961
    其他 :11544
袖长:
    短袖 :9393
    长袖 :44013
批嵌材料种类:
    原子灰 :11222
    腻子 :41713
格数:
    1个 :26613
    2个 3个 4个 5个 6个 7个 :5430
    3个 4个 5个 6个 7个 :12920
    2个 :7729
转换器类型:
    国标 :52475
门镜材质:
    铜 :8077
    合金 :29131
    塑料 :14589
节数:
    2节 :15226
    3节 :36535
灯身材质:
    不锈钢 :7617
    铝 :22768
    ABS+五金底盘 :13133
    PVC :8169
面料密度:
    133X76 :5544
    128x68 :15566
    133x72 :29942
是否含加工辅料费:
    不含加工辅料费 :17484
    含加工辅料费 不含加工辅料费 :5635
    含加工辅料费 :27350
适用性别:
    男 :7819
    中性 :7784
    情侣 :7557
    女 :26227
周长:
    330cm(含)-380cm(不含) :5015
    290cm(含)-330cm(不含) :10269
    其他/other :20885
    250cm(含)-290cm(不含) :12359
皮革饰面工艺:
    漆光 :7741
    其他/other :8702
    其他 :14802
    软面 :17280
尺码:
    均码 :23842
    小号 :5073
    大号 小号 中号 :11675
    中号 :7924
插头功能:
    防漏电插头 :11565
    工业插头 :28746
    防水型 :6631
基础风格:
    青春流行 :24050
    商务绅士 :11733
    时尚都市 :10798
适配门厚度:
    >55mm :16141
    35-50mm :8358
    35-45MM :7891
    45-55mm :14075
鞋底厚度:
    1.5cm(含)-3.5cm(不含) :46452
布饰面工艺:
    其他/other :27224
    纯色 :18923
升降方式:
    手摇 :45377
槽数:
    1个 :29859
    2个 :15246
冲洗阀类型:
    小便冲洗阀 :38835
    大便冲洗阀 :5997
上市年份季节:
    2017年秋季 :17168
    2017年冬季 :26503
成色:
    全新 :43218
拉篮打开方式:
    一键弹收 :15276
    抽屉式 :22644
    开门式 :5222
是否含镜灯:
    不含 :32245
    含 :10064
商品类型:
    个人洗漱/清洁/护理 :5639
    整理/收纳 :35394
饰面油漆工艺:
    烤漆 :13180
    喷漆 :27728
防护等级:
    IP65 :35239
    IP55 :5431
是否带软靠:
    否 :22335
    是 :17992
帮面材质:
    PVC :7012
    棉布 :9070
    PU :5485
    绒面 :18359
应急时间:
    ≥90min :13675
    ≥180min :25975
底座:
    脱卸式 :16786
    固定式 :22593
是否带转盘:
    否 :38636
环保等级:
    E1级 :8650
    E0级 :29831
臂身类型:
    滑入式 :17440
    卡式 :20844
抽屉导轨节数:
    2节 :24442
    3节 :13736
灯罩材质:
    钢化玻璃 :6492
    有机玻璃 :10029
    聚合物 :8218
    玻璃 :13253
毛巾类别:
    方巾 :5281
    面巾 :26796
    童巾 :5105
皮革饰面范围:
    接触面皮 :25557
    全皮 :11037
是否带画片:
    否 :18782
    是 :17803
性别:
    女 :25490
    男女通用 :10978
是否可叠落:
    否 :26075
    是 :9395
门板材质:
    高分子 :19690
    其他/other :7392
    玻璃 :8261
关门方式:
    液压缓冲铰链 :23302
    一段力铰链 :11127
适用门材质:
    木门 :34318
中底材质:
    EVA :6753
    短毛绒 :10574
    人造长毛绒 :8619
    PVC :8232
用途:
    柜门 :19837
    抽屉 :14313
适用床尺寸:
    1.2m（4英尺）床 1.5m（5英尺）床 :8200
    1.2m（4英尺）床 1.5m（5英尺）床 1.8m（6英尺）床 2.0m（6.6英尺）床 :10370
    1.5m（5英尺）床 1.8m（6英尺）床 2.0m（6.6英尺）床 :15564
浴缸配件:
    下水器 :33774
开门角度:
    95°(含)-110°(含) :22159
    其他 :11559
闭合方式:
    拉链 :8312
    锁扣 :5891
    系带 :18371
瓷砖类型:
    仿古砖 :9002
    其他/other :23303
个数:
    3个 :7678
    1个 :12687
    4个 :11880
皮革材质:
    真皮 :7171
    头层牛皮 :24927
挂钩种类:
    挂钩 :26185
    粘钩 :5702
套餐类型:
    多框 :30579
上市时间:
    2017年 :11815
    2017年秋冬 :11351
    2017年冬季 :7297
孔距:
    单孔 :7419
    96mm :15982
    128mm :6784
能效等级:
    无 :10498
    一级 :7000
    二级 :12524
像框种类:
    相框 :29980
服装款式细节:
    印花 :13581
    蕾丝边 :8983
    绣花 :6492
斗数:
    5斗 :19046
    其他/other :9989
边框材质:
    铝镁合金 :20310
    铝合金 :8481
功能模块:
    取暖+换气+照明 :28279
是否可拆换:
    沙发套可拆换 :14268
    沙发套不可拆换 :13964
台面类型:
    一体陶瓷盆 :27870
适用年龄段:
    ≥14岁 :9538
    <14岁 :18271
竹藤结构工艺:
    缠接 :7176
    其他 :6542
    销/钉接 :13789
玻璃类型:
    钢化玻璃 :15258
    中空玻璃 :11366
窗户打开方式:
    外开下悬 :6995
    内开内倒 :19070
季节:
    冬季 :13712
    空调被/夏凉被 :6703
    春秋 :5586
吸附方式:
    无痕胶条 :5597
    钉子 :12659
    粘胶 :7723
玩具类型:
    靠垫/抱枕 :8029
    其它玩具 :5519
    拼插积木 :12225
主图来源:
    自主实拍图 :25599
吸水性:
    5s-10s :11828
    </=5s :13171
是否带护栏:
    否 :24956
造型:
    植物 :6334
    其他 :18400
售后服务:
    店铺三包 :8232
    全国联保 :9265
    上门安装全国联保 :6891
裤长:
    长裤 :24009
油漆辅料工具:
    滚筒刷 :7624
    其他/other :15999
凳柱材质:
    纤维板 :6846
    木 :15977
适用场所:
    校园 :22116
钩数:
    7个及以上 :5768
    1个 :5325
    5个 :5485
    6个 :5346
配套附带:
    带其它配件 带沥水篮 带皂液器 带龙头 :11373
    带其它配件 :9458
领型:
    V领 :7831
    圆领 :7545
    小翻领 :5157
衣长:
    中长款 :8259
    常规 :6808
    常规款 :5382
绝缘性:
    全绝缘 :9372
    非绝缘 :10707
浴巾架类型:
    折叠活动型 :11972
    牢固型 :7692
梯类型:
    多功能折叠梯 :10243
    单侧梯 :9298
是否包同色踢脚线:
    不包 :19365
帮面内里材质:
    短毛绒 :10489
    人造长毛绒 :8696
拉篮分类:
    调味篮 :6593
    碗碟篮 :12055
是否带钥匙:
    带钥匙 :12996
    不带钥匙 :5527
鞋头款式:
    圆头 :17799
开门方向:
    通用型 :17385
淋浴花洒龙头类型:
    双花洒龙头 :10101
    单花洒龙头 :7163
袖型:
    常规 :16943
采购地:
    中国大陆 :16473
藤材质:
    植物藤 :9736
    塑料 :6665
价格区间:
    51-100元 :5001
    75-250元 :5234
    1.00-9.99元 :6115
是否商场同款:
    否 :6396
    是 :9884
楼梯安装方式:
    整体安装 :16016
单灯功率:
    275W :15770
地板革类型:
    多层复合型 :15627
鞋制作工艺:
    胶粘鞋 :15365
承重等级:
    150kg :15359
是否带镜:
    是 :14960
实木皮饰面工艺:
    其他/other :14855
服装版型:
    直筒 :5152
    修身 :9610
坐便器类型:
    连体式 :14749
窗花剪纸类型:
    福字 :6997
    喜字 :7735
PVC纸饰面工艺:
    木纹 :8918
    其他/other :5755
新奇特:
    新鲜出炉 :14554
冷热水控制类型:
    单把双控 :14208
晒衣架类型:
    置地晾衣架 :14175
基材:
    高密度纤维板 :14160
年份季节:
    2017年秋季 :5343
    2017年冬季 :8775
品名:
    踢脚线 :7795
    波导线 :6136
材质成分:
    聚酯纤维100% :13846
冲水按键类型:
    上按两端式 :13610
是否带床架:
    是 :13543
踏板数:
    三步梯 :6810
    四步梯 :6705
质地:
    其他 :7495
    ABS+PC :6012
绿植种类:
    绿萝 :7705
    其他 :5756
木雕类型:
    东阳木雕 :13360
花洒支架类型:
    固定支座 :6842
    可旋转带升降 :6499
里料材质:
    涤纶 :13234
排水方式:
    地排水 :13164
外壳材质:
    不锈钢 :8056
    塑料 :5095
产品名称:
    Coleshome/蔻丝 YW21 :5513
    落地式 :7450
通勤:
    韩版 :12811
是否有靠背:
    是 :12789
衣门襟:
    拉链 :7171
    套头 :5595
家居服风格:
    简约 :5993
    性感 :6066
导轨类型:
    液压阻尼 :11751
面料主材质:
    聚酯纤维（涤纶） :11169
裤门襟:
    皮筋 :11153
是否带屏风:
    是 :11118
场合:
    运动休闲 :5715
    日常 :5108
数量选择:
    1个 :10685
是否带妆凳:
    是 :10659
雕刻工艺:
    镂雕 :5524
    浮雕 :5026
